Time,pm10 standard,pm25 standard,pm100 env
1707347675.3769457,8.0,0,0.0
1707347676.3781674,8.0,0,0.0
1707347677.3794124,8.0,0,0.0
1707347678.3805552,8.0,0,0.0
1707347679.3818245,8.0,0,0.0
1707347680.383142,8.0,0,0.0
1707347681.3844676,6.0,0,0.0
1707347682.3858106,6.0,0,0.0
1707347683.387489,6.0,0,0.0
1707347684.3889525,2.0,0,0.0
1707347685.3903341,2.0,0,0.0
1707347686.3917587,2.0,0,0.0
1707347687.3931653,2.0,0,0.0
1707347688.3944895,2.0,0,0.0
1707347689.3960948,2.0,0,0.0
1707347690.3974538,2.0,0,0.0
1707347691.3987772,2.0,0,0.0
1707347692.4001405,2.0,0,0.0
1707347693.4015248,8.0,2,0.0
1707347694.4031155,8.0,2,0.0
1707347695.4044344,8.0,2,0.0
1707347696.40573,8.0,2,0.0
1707347697.4070199,8.0,2,0.0
1707347698.4083538,8.0,2,0.0
1707347699.4098966,14.0,8,0.0
1707347700.4112146,14.0,8,0.0
1707347701.4127107,14.0,8,0.0
1707347702.4140902,12.0,8,0.0
1707347703.415445,12.0,8,0.0
1707347704.4162483,12.0,8,0.0
