Time,Temperature,Gas,Humidity,Pressure,Altitude,pm10 standard,pm25 standard,pm100 env
1707961467.7843828,34.8,342474,100.0,692.695,3095.10,0.0,0,0.0
1707961468.7962723,17.9,13583,53.4,1013.317,-0.56,0.0,0,0.0
1707961469.8079257,18.0,15658,53.2,1013.319,-0.58,0.0,0,0.0
1707961470.8195708,18.1,19058,52.9,1013.323,-0.61,0.0,0,0.0
1707961471.8313315,18.1,22830,52.7,1013.354,-0.86,0.0,0,0.0
1707961472.8429823,18.2,28493,52.5,1013.368,-0.98,0.0,0,0.0
1707961473.8547213,18.2,33113,52.4,1013.389,-1.16,0.0,0,0.0
1707961474.8666143,18.3,37892,52.4,1013.404,-1.28,0.0,0,0.0
1707961475.8784034,18.4,42574,52.3,1013.402,-1.27,0.0,0,0.0
1707961476.890075,18.4,49267,52.4,1013.416,-1.39,0.0,0,0.0
1707961477.9016688,18.5,54173,52.4,1013.415,-1.37,0.0,0,0.0
1707961478.9133747,18.5,58839,52.3,1013.414,-1.37,0.0,0,0.0
1707961479.925276,18.6,63595,52.2,1013.429,-1.49,0.0,0,0.0
1707961480.9369712,18.6,68595,52.0,1013.439,-1.57,0.0,0,0.0
1707961481.9488113,18.7,72548,51.8,1013.443,-1.60,0.0,0,0.0
1707961482.960811,18.7,77526,51.6,1013.445,-1.63,0.0,0,0.0
1707961483.972672,18.8,81392,51.4,1013.447,-1.64,0.0,0,0.0
1707961484.9844813,18.8,85665,51.2,1013.458,-1.73,0.0,0,0.0
1707961485.9962614,18.9,89492,51.0,1013.467,-1.80,0.0,0,0.0
1707961487.0080059,18.9,92986,50.8,1013.465,-1.79,0.0,0,0.0
1707961488.0198355,19.0,98850,50.6,1013.460,-1.75,0.0,0,0.0
1707961489.0316834,19.0,102710,50.4,1013.460,-1.75,0.0,0,0.0
1707961490.0436728,19.1,107732,50.1,1013.460,-1.75,0.0,0,0.0
1707961491.0555253,19.1,110156,50.0,1013.466,-1.80,2.0,0,0.0
1707961492.067237,19.1,114746,49.6,1013.422,-1.43,2.0,0,0.0
1707961493.0788877,19.1,117814,49.5,1013.397,-1.23,2.0,0,0.0
1707961494.090647,19.2,120389,49.9,1013.427,-1.47,4.0,0,0.0
1707961495.102504,19.2,123597,49.6,1013.468,-1.81,4.0,0,0.0
1707961496.114227,19.3,125267,49.4,1013.492,-2.01,4.0,0,0.0
1707961497.1260889,19.3,129026,49.4,1013.489,-1.99,4.0,0,0.0
1707961498.1380978,19.3,131726,49.4,1013.475,-1.87,4.0,0,0.0
1707961499.1498835,19.3,135577,49.3,1013.480,-1.91,4.0,0,0.0
1707961500.1615367,19.3,137588,49.3,1013.476,-1.88,8.0,0,0.0
1707961501.173235,19.3,139881,49.2,1013.473,-1.86,8.0,0,0.0
1707961502.1848936,19.3,142252,49.2,1013.469,-1.82,8.0,0,0.0
1707961503.1967618,19.2,145301,49.3,1013.466,-1.80,8.0,0,0.0
1707961504.208479,19.2,146753,49.3,1013.455,-1.71,8.0,0,0.0
1707961505.220222,19.2,149745,49.5,1013.449,-1.66,8.0,0,0.0
1707961506.232061,19.2,151158,49.5,1013.432,-1.52,8.0,0,0.0
1707961507.243925,19.2,154877,49.6,1013.437,-1.56,8.0,0,0.0
1707961508.255803,19.3,155423,49.6,1013.415,-1.37,8.0,0,0.0
1707961509.2674918,19.3,158072,49.6,1013.395,-1.21,8.0,0,0.0
1707961510.27918,19.3,160227,49.6,1013.406,-1.30,8.0,0,0.0
1707961511.2908304,19.4,162893,49.5,1013.424,-1.45,8.0,0,0.0
1707961512.3024223,19.4,164874,49.5,1013.421,-1.42,8.0,0,0.0
1707961513.3139863,19.4,165804,49.4,1013.424,-1.45,8.0,0,0.0
1707961514.325592,19.4,168338,49.4,1013.442,-1.60,8.0,0,0.0
1707961515.3372326,19.4,168822,49.5,1013.440,-1.58,10.0,0,0.0
1707961516.3488286,19.4,171117,49.6,1013.440,-1.58,10.0,0,0.0
1707961517.3604162,19.4,173134,49.7,1013.427,-1.48,10.0,0,0.0
1707961518.3720942,19.4,174678,49.9,1013.443,-1.60,10.0,0,0.0
1707961519.3838162,19.4,176958,50.0,1013.468,-1.81,10.0,0,0.0
1707961520.395528,19.4,178210,50.0,1013.488,-1.98,10.0,0,0.0
1707961521.407522,19.3,187334,49.9,1013.495,-2.04,10.0,2,0.0
1707961522.4194105,19.3,180769,49.9,1013.512,-2.18,10.0,2,0.0
1707961523.4312603,19.3,191368,49.8,1013.521,-2.25,10.0,2,0.0
1707961524.442965,19.2,192645,49.7,1013.517,-2.22,8.0,2,0.0
1707961525.454711,19.2,195030,49.5,1013.523,-2.27,8.0,2,0.0
1707961526.4666252,19.2,197588,49.3,1013.509,-2.16,8.0,2,0.0
1707961527.4784868,19.1,197363,49.2,1013.500,-2.08,8.0,2,0.0
1707961528.4902828,19.1,199637,49.0,1013.482,-1.93,8.0,2,0.0
1707961529.501921,19.1,201494,49.1,1013.479,-1.91,8.0,2,0.0
1707961530.5136578,19.1,202317,49.1,1013.488,-1.98,6.0,4,2.0
1707961531.5253973,19.0,204466,49.1,1013.488,-1.98,6.0,4,2.0
1707961532.5370872,19.0,204345,49.2,1013.476,-1.88,6.0,4,2.0
1707961533.5488095,18.9,206907,49.2,1013.480,-1.91,6.0,4,2.0
1707961534.5606027,18.9,209661,49.2,1013.476,-1.88,6.0,4,2.0
1707961535.572691,18.8,210937,49.3,1013.471,-1.84,6.0,4,2.0
1707961536.5844297,18.8,212099,49.3,1013.480,-1.91,6.0,4,2.0
1707961537.596123,18.7,213143,49.4,1013.456,-1.71,6.0,4,2.0
1707961538.607899,18.7,213143,49.5,1013.435,-1.54,6.0,4,2.0
1707961539.6197095,18.7,213669,49.7,1013.425,-1.45,6.0,4,2.0
1707961540.6313505,18.6,215663,50.0,1013.414,-1.37,6.0,4,2.0
1707961541.6421485,18.6,218244,50.1,1013.401,-1.26,6.0,4,2.0
1707961542.6540902,18.5,220185,50.1,1013.400,-1.25,6.0,4,2.0
1707961543.665853,18.5,221735,50.1,1013.401,-1.26,6.0,4,2.0
1707961544.6776323,18.4,223019,50.1,1013.402,-1.26,6.0,4,2.0
1707961545.6893442,18.3,223306,50.1,1013.400,-1.25,4.0,4,2.0
1707961546.7011409,18.3,226222,50.1,1013.387,-1.14,4.0,4,2.0
1707961547.7129571,18.3,225927,50.2,1013.375,-1.04,4.0,4,2.0
1707961548.7246084,18.3,226370,50.3,1013.360,-0.91,4.0,4,2.0
1707961549.7363656,18.3,226518,50.4,1013.356,-0.88,4.0,4,2.0
1707961550.7481642,18.2,229214,50.5,1013.367,-0.98,4.0,4,2.0
1707961551.7599168,18.2,229214,50.5,1013.353,-0.86,4.0,2,2.0
1707961552.771547,18.2,231976,50.6,1013.376,-1.05,4.0,2,2.0
1707961553.783272,18.2,231202,50.7,1013.382,-1.10,4.0,2,2.0
1707961554.7950249,18.2,232599,50.8,1013.408,-1.32,6.0,2,2.0
1707961555.806821,18.1,234805,50.9,1013.424,-1.45,6.0,2,2.0
