Time,Temperature,Gas,Humidity,Pressure,Altitude,pm10 standard,pm25 standard,pm100 env
1707957200.7061362,35.4,118398,100.0,680.428,3235.07,4.0,0,0.0
1707957201.7190673,24.1,29776,45.3,1005.166,67.52,4.0,0,0.0
1707957202.72981,24.2,53467,45.2,1005.170,67.49,4.0,0,0.0
1707957203.7405818,24.2,75241,45.1,1005.190,67.32,4.0,0,0.0
1707957204.751313,24.2,92657,44.9,1005.210,67.15,4.0,0,0.0
1707957205.762045,24.3,105012,44.8,1005.219,67.08,2.0,0,0.0
1707957206.7733097,24.3,116753,44.7,1005.229,66.99,2.0,0,0.0
1707957207.7848575,24.3,126125,44.6,1005.239,66.91,2.0,0,0.0
1707957208.796658,24.4,134071,44.5,1005.228,67.01,2.0,0,0.0
1707957209.8073702,24.4,140573,44.4,1005.216,67.10,2.0,0,0.0
1707957210.8180668,24.4,146578,44.4,1005.205,67.20,2.0,0,0.0
1707957211.8287654,24.4,151464,44.4,1005.196,67.27,4.0,0,0.0
1707957212.8386016,24.4,156541,44.3,1005.181,67.40,4.0,0,0.0
1707957213.8500872,24.4,159815,44.4,1005.171,67.49,4.0,0,0.0
1707957214.8619328,24.4,164185,44.3,1005.195,67.28,4.0,0,0.0
1707957215.873801,24.4,166460,44.3,1005.205,67.20,4.0,0,0.0
1707957216.8857613,24.4,170339,44.3,1005.212,67.14,4.0,0,0.0
1707957217.897699,24.4,172613,44.2,1005.220,67.07,4.0,0,0.0
1707957218.9095623,24.4,174404,44.2,1005.195,67.28,4.0,0,0.0
1707957219.921342,24.4,176602,44.1,1005.188,67.34,4.0,0,0.0
1707957220.9331312,24.4,179429,44.0,1005.175,67.45,2.0,0,0.0
1707957221.9447024,24.4,181365,44.0,1005.163,67.55,2.0,0,0.0
1707957222.9563022,24.4,182348,43.9,1005.154,67.63,2.0,0,0.0
1707957223.967897,24.4,184753,43.8,1005.146,67.69,2.0,0,0.0
1707957224.979543,24.4,185971,43.7,1005.143,67.72,2.0,0,0.0
1707957225.991145,24.3,186918,43.6,1005.126,67.86,2.0,0,0.0
1707957227.0027804,24.3,188195,43.5,1005.112,67.98,4.0,0,0.0
1707957228.0144293,24.3,188624,43.5,1005.096,68.11,4.0,0,0.0
1707957229.0260303,24.2,191022,43.4,1005.072,68.31,4.0,0,0.0
1707957230.0376177,24.2,191576,43.4,1005.040,68.58,4.0,0,0.0
1707957231.0492282,24.2,192805,43.4,1005.010,68.83,4.0,0,0.0
1707957232.0608344,24.2,193936,43.3,1004.979,69.09,4.0,0,0.0
1707957233.0724318,24.1,194621,43.3,1004.952,69.32,4.0,0,0.0
1707957234.0839994,24.1,196823,43.2,1004.932,69.48,4.0,0,0.0
1707957235.095649,24.1,195890,43.2,1004.912,69.65,4.0,0,0.0
1707957236.1072776,24.0,197410,43.2,1004.891,69.83,6.0,0,0.0
1707957237.1188085,24.0,197883,43.2,1004.870,70.00,6.0,0,0.0
1707957238.130339,24.0,200281,43.1,1004.833,70.31,6.0,0,0.0
1707957239.1419597,23.9,201379,43.1,1004.797,70.61,6.0,0,0.0
1707957240.1536243,23.9,200767,43.2,1004.762,70.91,6.0,0,0.0
1707957241.1652875,23.9,201748,43.2,1004.731,71.17,6.0,0,0.0
1707957242.1766863,23.8,202737,43.1,1004.704,71.40,8.0,0,0.0
1707957243.1884675,23.8,205766,43.2,1004.687,71.54,8.0,0,0.0
1707957244.2003179,23.7,205766,43.2,1004.657,71.79,8.0,0,0.0
1707957245.2121582,23.7,205128,43.2,1004.621,72.09,8.0,0,0.0
1707957246.2241435,23.7,206151,43.2,1004.585,72.39,8.0,0,0.0
1707957247.2360554,23.6,205766,43.2,1004.553,72.66,8.0,0,0.0
1707957248.2480612,23.6,207055,43.2,1004.515,72.98,8.0,0,0.0
1707957249.260006,23.5,208229,43.3,1004.479,73.28,8.0,0,0.0
1707957250.271958,23.5,207445,43.3,1004.448,73.55,8.0,0,0.0
1707957251.2839522,23.5,209815,43.3,1004.414,73.83,8.0,0,0.0
1707957252.2957945,23.4,210215,43.3,1004.367,74.23,8.0,0,0.0
1707957253.3077354,23.4,210751,43.4,1004.326,74.56,8.0,0,0.0
1707957254.3197129,23.3,210483,43.4,1004.273,75.01,10.0,0,0.0
1707957255.331576,23.3,211696,43.5,1004.227,75.39,10.0,0,0.0
1707957256.3433647,23.3,213473,43.5,1004.205,75.58,10.0,0,0.0
1707957257.35496,23.2,211560,43.6,1004.187,75.73,8.0,0,0.0
1707957258.3667197,23.2,214860,43.6,1004.169,75.88,8.0,0,0.0
1707957259.378684,23.1,213473,43.6,1004.156,75.99,8.0,0,0.0
1707957260.390554,23.1,213060,43.7,1004.138,76.14,8.0,0,0.0
1707957261.4022882,23.0,215280,43.7,1004.130,76.21,8.0,0,0.0
1707957262.4142802,23.0,214442,43.8,1004.120,76.29,8.0,0,0.0
1707957263.426189,22.9,214303,43.8,1004.113,76.35,8.0,0,0.0
1707957264.4382694,22.9,215983,43.9,1004.107,76.40,8.0,0,0.0
1707957265.45019,22.8,216266,44.0,1004.097,76.48,8.0,0,0.0
1707957266.4620779,22.8,216833,44.0,1004.090,76.54,6.0,0,0.0
1707957267.4740477,22.7,217261,44.1,1004.093,76.52,6.0,0,0.0
1707957268.4861543,22.7,217404,44.2,1004.100,76.46,6.0,0,0.0
1707957269.497972,22.6,218554,44.3,1004.103,76.43,6.0,0,0.0
1707957270.5097473,22.5,219279,44.4,1004.098,76.48,6.0,0,0.0
1707957271.52143,22.5,217118,44.5,1004.097,76.48,6.0,0,0.0
1707957272.5331695,22.4,218698,44.6,1004.111,76.37,2.0,0,0.0
1707957273.5449953,22.3,221631,44.6,1004.106,76.41,2.0,0,0.0
1707957274.5568187,22.3,220890,44.8,1004.112,76.36,2.0,0,0.0
1707957275.5684633,22.2,222376,44.8,1004.106,76.41,6.0,4,0.0
1707957276.5800464,22.1,222227,44.9,1004.106,76.41,6.0,4,0.0
1707957277.5916665,22.0,221334,45.1,1004.104,76.42,6.0,4,0.0
1707957278.6033795,21.9,221780,45.2,1004.102,76.44,6.0,4,0.0
1707957279.6151047,21.9,221631,45.3,1004.103,76.43,6.0,4,0.0
1707957280.626828,21.8,223277,45.4,1004.092,76.53,6.0,4,0.0
1707957281.6384835,21.8,222376,45.6,1004.095,76.50,6.0,4,0.0
1707957282.650065,21.7,222976,45.7,1004.097,76.48,6.0,4,0.0
1707957283.6616602,21.7,223580,45.9,1004.101,76.45,6.0,4,0.0
1707957284.673274,21.6,224338,46.0,1004.100,76.46,12.0,4,0.0
1707957285.6847863,21.6,222526,46.1,1004.099,76.47,12.0,4,0.0
1707957286.6963375,21.5,223428,46.3,1004.095,76.50,12.0,4,0.0
1707957287.70793,21.4,222976,46.5,1004.094,76.51,12.0,4,0.0
1707957288.7195342,21.4,222376,46.6,1004.088,76.56,12.0,4,0.0
1707957289.731223,21.3,222976,46.8,1004.085,76.58,12.0,4,0.0
1707957290.7429044,21.2,224949,46.9,1004.076,76.66,14.0,4,0.0
