Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1712797275.66,0,0,23.0,1.0,1.0,1.0,23.7864453125,39.279834362123594,1011.2204686757722,16.91095458346023,21089.5
1712797277.63,0,0,33.0,1.0,1.0,1.0,23.669550781250003,40.33106045860611,1011.2160541597318,16.947768234642204,16842.5
1712797279.58,0,0,33.0,1.0,1.0,1.0,23.677265625,40.18776456648262,1011.2347204557354,16.792106743862057,19388.0
1712797281.63,0,0,26.5,1.0,1.0,1.0,23.70626953125,39.940374862488675,1011.2468876858081,16.690643214872228,21354.5
1712797283.6,0,0,28.0,1.0,1.0,1.0,23.73654296875,39.687725777121315,1011.2464808859739,16.6940355482292,22963.5
1712797285.63,0,0,26.5,1.0,1.0,1.0,23.76466796875,39.48399269948344,1011.2477229232525,16.683678143359167,24353.5
1712797287.6,0,0,27.0,1.0,1.0,1.0,23.7817578125,39.32519921513174,1011.2455432936239,16.701854155995058,25593.0
1712797289.63,0,0,27.0,1.0,1.0,1.0,23.79220703125,39.19163712743854,1011.2557587880547,16.616667051834845,26752.0
1712797291.6,0,0,23.0,1.0,1.0,1.0,23.799433593750003,39.08073675617496,1011.258111526839,16.597047636977575,27743.5
1712797293.63,0,0,35.0,1.0,1.0,1.0,23.80470703125,39.01833577516595,1011.2632990664081,16.553789048779336,28750.5
1712797295.61,0,0,33.0,1.0,1.0,1.0,23.81251953125,38.98482424166548,1011.2588539893604,16.590856331966904,29700.0
1712797297.64,0,0,26.0,1.0,1.0,1.0,23.817109375,38.95956228860797,1011.2517174295194,16.65036789755445,30676.0
1712797299.55,0,0,26.0,1.0,1.0,1.0,23.817109375,38.95956228860797,1011.2517174295194,16.65036789755445,30676.0
1712797301.63,0,0,29.0,1.0,1.0,1.0,23.818964843750003,38.94259740329426,1011.251308025839,16.65378191518677,31481.5
1712797303.6,0,0,29.5,1.0,1.0,1.0,23.82404296875,39.01463838957004,1011.2535896987284,16.63475505761388,32133.5
1712797305.63,0,0,27.0,1.0,1.0,1.0,23.83244140625,39.278959389418134,1011.2483792795645,16.678204781349308,32330.5
1712797307.59,0,0,27.0,1.0,1.0,1.0,23.83947265625,39.779126020018666,1011.2461013933848,16.69720013948981,33021.0
1712797309.63,0,0,24.5,1.0,1.0,1.0,23.8426953125,40.09306631775543,1011.2513780456245,16.65319801773405,33999.0
1712797311.6,0,0,22.5,1.0,1.0,1.0,23.84455078125,40.047188749387615,1011.2552780487243,16.62067595471655,35166.0
1712797313.63,0,0,42.0,1.0,1.0,1.0,23.847285156250003,39.84316886038853,1011.2511359114549,16.65521717800566,36011.5
1712797315.61,0,0,31.0,1.0,1.0,1.0,23.85060546875,39.65382404305144,1011.2548485652821,16.62425739198867,36884.0
1712797317.61,0,0,31.0,1.0,1.0,1.0,23.84953125,39.48719879493869,1011.2565374010642,16.610174267772074,37733.5
1712797319.6,0,0,32.0,1.0,1.0,1.0,23.84689453125,39.31197669086524,1011.2617014130949,16.567111773629527,38545.0
1712797321.63,0,0,21.5,1.0,1.0,1.0,23.84318359375,39.148292389547194,1011.2564871674731,16.610593148390585,39398.0
1712797323.61,0,0,34.0,1.0,1.0,1.0,23.83908203125,39.00476196779385,1011.2549428964323,16.62347076533853,40131.5
1712797325.63,0,0,25.5,1.0,1.0,1.0,23.8333203125,38.88119657805552,1011.2636089801631,16.551204698053738,40777.0
1712797327.59,0,0,25.5,1.0,1.0,1.0,23.830195312500003,38.79228316015798,1011.2679731067312,16.514812644811915,41585.0
1712797329.63,0,0,24.0,1.0,1.0,1.0,23.82892578125,38.72074484231952,1011.2702038936991,16.496210372060332,42191.5
1712797331.61,0,0,30.0,1.0,1.0,1.0,23.8301953125,38.66377481719587,1011.2740064719821,16.464501174242294,43126.5
1712797333.64,0,0,21.0,1.0,1.0,1.0,23.8298046875,38.62092215656505,1011.2638858738278,16.548895818241427,43596.0
1712797335.59,0,0,21.0,1.0,1.0,1.0,23.82775390625,38.603587872977386,1011.251046943624,16.655959081515693,44146.5
1712797337.61,0,0,32.0,1.0,1.0,1.0,23.82716796875,38.58640739677533,1011.269049413004,16.505837655662226,44880.0
1712797339.63,0,0,31.5,1.0,1.0,1.0,23.8253125,38.57480379562167,1011.2823873878369,16.394614254528236,45439.0
1712797341.6,0,0,32.0,1.0,1.0,1.0,23.82541015625,38.55199186720725,1011.2885806206,16.342970217534592,46164.5
1712797343.63,0,0,29.0,1.0,1.0,1.0,23.8216015625,38.534484185420496,1011.2866537109333,16.35903823524298,46847.5
1712797345.59,0,0,29.0,1.0,1.0,1.0,23.820625,38.51727118889504,1011.2807451454827,16.408308530313448,47470.5
1712797347.64,0,0,30.0,1.0,1.0,1.0,23.81876953125,38.5142276196995,1011.2846020410777,16.376146700068183,48056.5
1712797349.57,0,0,30.5,1.0,1.0,1.0,23.81876953125,38.5142276196995,1011.2846020410777,16.376146700068183,48056.5
1712797351.63,0,0,30.5,1.0,1.0,1.0,23.8159375,38.52249076438922,1011.289445514896,16.33575811671927,48614.0
1712797353.6,0,0,28.0,1.0,1.0,1.0,23.81232421875,38.5477869593319,1011.2947333608392,16.291664122027537,49012.0
1712797355.62,0,0,28.0,0.5,1.0,1.0,23.80998046875,38.584629593711696,1011.30468561878,16.20867541856429,49621.5
1712797357.69,0,0,30.5,0.5,1.0,1.0,23.8063671875,38.58425589270038,1011.2996307165151,16.25082655810968,50247.0
1712797359.63,0,0,38.0,0.0,1.0,1.0,23.79416015625,38.55731951021186,1011.2917076350695,16.316894815903666,50534.5
1712797361.62,0,0,34.5,0.0,1.0,1.0,23.79376953125,38.548721720977106,1011.2953773392688,16.286294188316315,51278.0
1712797363.61,0,0,34.5,1.0,1.0,1.0,23.79875,38.54067951462022,1011.2974999245808,16.268594562664344,51945.5
1712797365.6,0,0,22.5,1.0,1.0,1.0,23.80197265625,38.521048266311674,1011.2932965075179,16.303645637914155,52400.5
1712797367.63,0,0,25.0,1.0,1.0,1.0,23.80373046875,38.51267449887871,1011.2918655706137,16.315577837567425,53098.5
1712797369.6,0,0,32.0,1.0,1.0,1.0,23.80490234375,38.498537569083126,1011.2834420121677,16.385819890001763,53505.0
1712797371.63,0,0,32.0,1.0,1.0,1.0,23.80685546875,38.49303637273093,1011.288363987554,16.344776674547436,54057.0
1712797373.6,0,0,30.0,1.0,1.0,1.0,23.80607421875,38.498658673932006,1011.2870846820978,16.355444503489352,54550.5
1712797375.63,0,0,33.0,0.0,1.0,1.0,23.805292968750003,38.49572668027464,1011.2927004109935,16.30861634929297,54962.0
1712797377.6,0,0,26.0,0.0,1.0,1.0,23.80607421875,38.507213188972244,1011.2965653478673,16.276387732859558,55582.5
1712797379.63,0,0,28.5,0.0,1.0,1.0,23.80841796875,38.510306937028744,1011.294370088732,16.294693347419873,56047.5
1712797381.63,0,0,28.5,0.0,1.0,1.0,23.810175781250003,38.51048844107105,1011.291215323984,16.3210000771591,56520.5
1712797383.63,0,0,32.5,0.0,1.0,1.0,23.81095703125,38.533384354111334,1011.295080260204,16.288771428159336,56923.0
1712797385.6,0,0,29.5,0.0,1.0,1.0,23.81271484375,38.55638449287427,1011.2893398125392,16.336639516546363,57097.5
