Time,pm10 standard,pm25 standard,pm100 env
1712188479.0534859,14.0,2.0,0.0
1712188480.0550213,14.0,2.0,0.0
1712188481.056612,16.0,4.0,0.0
1712188482.0581353,16.0,4.0,0.0
1712188483.0596697,16.0,4.0,0.0
1712188484.0611575,18.0,4.0,0.0
1712188485.0626287,18.0,4.0,0.0
1712188486.0641289,18.0,4.0,0.0
1712188487.0656438,20.0,4.0,0.0
1712188488.0671704,20.0,4.0,0.0
1712188489.0687184,20.0,4.0,0.0
1712188490.0702813,20.0,4.0,0.0
1712188491.0717988,20.0,4.0,0.0
1712188492.0732055,20.0,4.0,0.0
1712188493.074677,26.0,4.0,0.0
1712188494.0761971,26.0,4.0,0.0
1712188495.0776892,26.0,4.0,0.0
1712188496.0791144,26.0,4.0,0.0
1712188497.080628,26.0,4.0,0.0
1712188498.0821612,26.0,4.0,0.0
1712188499.083682,30.0,4.0,0.0
1712188500.0850997,30.0,4.0,0.0
1712188501.0863695,30.0,4.0,0.0
1712188502.0876298,30.0,4.0,0.0
1712188503.0888896,30.0,4.0,0.0
1712188504.0901287,30.0,4.0,0.0
1712188505.0913827,32.0,2.0,0.0
1712188506.0928748,32.0,2.0,0.0
