Time,pm10 standard,pm25 standard,pm100 env
1712186916.9134488,48.0,10.0,2.0
1712186917.9146924,48.0,10.0,2.0
1712186918.9159262,48.0,10.0,2.0
1712186919.9171028,46.0,10.0,2.0
1712186920.918578,46.0,10.0,2.0
1712186921.920074,46.0,10.0,2.0
1712186922.9215739,54.0,8.0,2.0
1712186923.9230137,54.0,8.0,2.0
1712186924.9245343,54.0,8.0,2.0
1712186925.926024,54.0,8.0,2.0
1712186926.9275331,54.0,8.0,2.0
1712186927.9290268,54.0,8.0,2.0
1712186928.9305103,54.0,8.0,2.0
1712186929.9320056,54.0,8.0,2.0
1712186930.9334757,54.0,8.0,2.0
1712186931.9348402,62.0,12.0,2.0
1712186932.9362948,62.0,12.0,2.0
1712186933.937782,62.0,12.0,2.0
1712186934.9392393,66.0,14.0,2.0
1712186935.9407241,66.0,14.0,2.0
1712186936.9422023,66.0,14.0,2.0
1712186937.9436924,70.0,14.0,2.0
1712186938.9452124,70.0,14.0,2.0
1712186939.9466567,70.0,14.0,2.0
1712186940.9472315,72.0,12.0,2.0
1712186941.9488034,72.0,12.0,2.0
1712186942.950322,72.0,12.0,2.0
1712186943.9518282,70.0,10.0,0.0
