Time,Temperature,Gas,Humidity,Pressure,Altitude,pm10 standard,pm25 standard,pm100 env
1707956888.4377167,35.4,135804,100.0,680.428,3235.07,4.0,0,0.0
1707956889.4484763,24.1,42671,45.4,1005.193,67.29,4.0,0,0.0
1707956890.459232,24.1,69174,45.3,1005.192,67.31,4.0,0,0.0
1707956891.4699094,24.2,89216,45.1,1005.188,67.34,4.0,0,0.0
1707956892.4808412,24.2,102266,45.0,1005.183,67.38,4.0,0,0.0
1707956893.4927437,24.2,112760,44.9,1005.179,67.41,4.0,0,0.0
1707956894.504608,24.3,121302,44.8,1005.180,67.40,4.0,0,0.0
1707956895.5164838,24.3,127658,44.7,1005.179,67.42,4.0,0,0.0
1707956896.5284457,24.3,133221,44.7,1005.177,67.43,4.0,0,0.0
1707956897.5400383,24.3,138034,44.6,1005.184,67.38,4.0,0,0.0
1707956898.5520797,24.3,142721,44.6,1005.184,67.37,4.0,0,0.0
1707956899.5639167,24.3,145815,44.5,1005.186,67.36,4.0,0,0.0
1707956900.5758238,24.3,148520,44.5,1005.191,67.31,4.0,0,0.0
1707956901.5877182,24.4,152564,44.5,1005.184,67.37,4.0,0,0.0
1707956902.5996125,24.4,154669,44.4,1005.200,67.24,4.0,0,0.0
1707956903.6115339,24.4,157273,44.4,1005.198,67.25,4.0,0,0.0
1707956904.623403,24.4,159511,44.4,1005.199,67.25,4.0,0,0.0
1707956905.6352956,24.4,161194,44.3,1005.207,67.18,4.0,0,0.0
1707956906.6472614,24.4,163228,44.3,1005.214,67.12,4.0,0,0.0
1707956907.6591985,24.4,164828,44.3,1005.218,67.09,4.0,0,0.0
1707956908.6706443,24.4,167122,44.2,1005.220,67.07,4.0,0,0.0
1707956909.682631,24.4,168462,44.1,1005.219,67.08,4.0,0,0.0
1707956910.6945844,24.4,170167,44.1,1005.220,67.07,2.0,0,0.0
1707956911.7064924,24.4,171556,44.1,1005.218,67.09,2.0,0,0.0
1707956912.718339,24.4,172436,44.0,1005.210,67.16,2.0,0,0.0
1707956913.730193,24.4,174223,44.0,1005.205,67.20,2.0,0,0.0
1707956914.7420266,24.4,175313,44.0,1005.204,67.20,2.0,0,0.0
1707956915.7539172,24.4,176602,43.9,1005.205,67.20,2.0,0,0.0
1707956916.7658145,24.4,177160,43.9,1005.206,67.19,0.0,0,0.0
1707956917.7777143,24.4,179429,43.9,1005.210,67.15,0.0,0,0.0
1707956918.7896018,24.4,179621,43.9,1005.213,67.13,0.0,0,0.0
1707956919.8015676,24.4,180974,43.8,1005.210,67.16,2.0,0,0.0
1707956920.8135886,24.4,181757,43.8,1005.214,67.12,2.0,0,0.0
1707956921.825586,24.4,182745,43.8,1005.217,67.09,2.0,0,0.0
1707956922.8374453,24.4,183143,43.8,1005.216,67.11,2.0,0,0.0
1707956923.8491442,24.4,184146,43.8,1005.218,67.09,2.0,0,0.0
1707956924.8610542,24.4,184753,43.7,1005.219,67.08,2.0,0,0.0
1707956925.8729696,24.5,185160,43.7,1005.230,66.99,6.0,0,0.0
1707956926.884912,24.5,186806,43.7,1005.230,66.98,6.0,0,0.0
1707956927.897024,24.5,185867,43.7,1005.237,66.93,6.0,0,0.0
1707956928.908959,24.5,185867,43.7,1005.236,66.94,8.0,0,0.0
1707956929.920891,24.5,187235,43.7,1005.238,66.92,8.0,0,0.0
1707956930.9328134,24.5,186918,43.7,1005.239,66.91,8.0,0,0.0
1707956931.9447198,24.5,187981,43.7,1005.241,66.90,8.0,0,0.0
1707956932.956564,24.5,188948,43.7,1005.240,66.90,8.0,0,0.0
1707956933.9684596,24.5,189707,43.7,1005.239,66.91,8.0,0,0.0
1707956934.980315,24.5,189707,43.7,1005.245,66.86,8.0,0,0.0
1707956935.9920056,24.5,190253,43.7,1005.250,66.82,8.0,0,0.0
1707956937.0038438,24.5,190802,43.7,1005.253,66.79,8.0,0,0.0
1707956938.0159173,24.5,191243,43.6,1005.254,66.78,8.0,0,0.0
1707956939.02803,24.5,192021,43.6,1005.256,66.77,8.0,0,0.0
1707956940.0399165,24.5,192580,43.6,1005.261,66.72,8.0,0,0.0
1707956941.0517998,24.5,192805,43.6,1005.261,66.73,8.0,0,0.0
1707956942.0637782,24.5,192805,43.6,1005.263,66.71,8.0,0,0.0
1707956943.0757325,24.5,192805,43.7,1005.262,66.72,8.0,0,0.0
1707956944.087713,24.5,192805,43.7,1005.266,66.69,10.0,0,0.0
1707956945.0996149,24.5,192917,43.8,1005.272,66.63,10.0,0,0.0
1707956946.111709,24.5,193143,43.9,1005.271,66.64,10.0,0,0.0
1707956947.1236498,24.5,193369,44.0,1005.264,66.70,10.0,0,0.0
1707956948.1355915,24.5,194392,44.1,1005.268,66.67,10.0,0,0.0
