Time,State
1710372264.8437314,HIGH
1710372264.8592343,HIGH
1710372265.4821477,HIGH
1710372265.497651,HIGH
1710372266.0958073,HIGH
1710372266.1112924,HIGH
1710372267.5100095,HIGH
1710372267.525467,HIGH
1710372269.5754972,HIGH
1710372269.5910146,HIGH
1710372270.7012186,HIGH
1710372270.7167742,HIGH
1710372271.7901413,HIGH
1710372271.80571,HIGH
1710372272.9026475,LOW
1710372272.9181554,HIGH
1710372273.9038615,HIGH
1710372273.9193795,HIGH
1710372274.0882423,HIGH
1710372274.1037214,HIGH
1710372274.1191971,HIGH
