Interval Start Time,Interval Number,Event Count
1710975926.298312,1,2
1710975928.300467,2,0
1710975930.3025842,3,0
1710975932.3046978,4,0
1710975934.306828,5,2
1710975936.3089569,6,2
1710975938.3110929,7,0
1710975940.313284,8,0
1710975942.3154097,9,0
1710975944.3175182,10,0
1710975946.3196306,11,0
1710975948.3217194,12,4
1710975950.3238416,13,0
1710975952.3260179,14,2
1710975954.3281236,15,0
1710975956.3302546,16,2
1710975958.3323781,17,0
1710975960.3345826,18,0
1710975962.3367174,19,2
1710975964.3388407,20,0
1710975966.3409605,21,0
1710975968.343075,22,0
1710975970.3451893,23,0
1710975972.3473582,24,4
1710975974.3495212,25,0
1710975976.351654,26,0
1710975978.3538318,27,0
1710975980.3559477,28,2
1710975982.3580732,29,0
1710975984.3601835,30,0
1710975986.3622992,31,2
1710975988.3644233,32,0
1710975990.366555,33,0
1710975992.3686738,34,2
1710975994.3707948,35,2
1710975996.3728979,36,2
1710975998.3750126,37,2
1710976000.3771422,38,0
1710976002.3792632,39,0
1710976004.3813581,40,0
1710976006.383479,41,2
1710976008.3856084,42,0
1710976010.3877437,43,0
1710976012.389868,44,0
1710976014.3919888,45,2
1710976016.3940716,46,0
1710976018.3961425,47,0
1710976020.398252,48,4
1710976022.4003325,49,0
1710976024.4024007,50,0
1710976026.4044776,51,0
1710976028.4065466,52,0
1710976030.408612,53,2
1710976032.4106882,54,0
1710976034.4127986,55,0
1710976036.4148793,56,0
1710976038.4169455,57,0
1710976040.4190114,58,0
1710976042.4210758,59,0
1710976044.4231424,60,0
